pt1,670440.4986,357057.4617,246.7486,
pt2,670397.5713,357057.4722,247.1256,
pt3,670135.5776,356106.9667,239.1481,
pt4,683760.8135,383242.5461,160.0245,
pt5,683755.6611,383228.5884,158.6316,
pt6,683739.3961,383262.7425,160.1388,
pt7,683731.7733,383270.3223,159.7095,
pt8,683719.1478,383279.6838,161.4711,
pt9,683707.4594,383286.3982,160.0828,
pt10,683697.5393,383294.1001,159.7115,
pt11,683677.7354,383292.4358,159.1141,
pt12,683675.4785,383289.9202,159.1591,
pt13,683689.6025,383280.8891,159.6315,
pt14,683687.7157,383278.1361,159.5525,
pt15,683710.7124,383256.1925,159.6603,
pt16,683713.4493,383258.2254,159.6513,
pt17,683720.6566,383249.1195,159.5766,
pt18,683754.2328,383231.0369,159.9415,
pt19,683758.8630,383230.5799,159.8826,
