pt1	683722.7123	383243.8590	159.9827	dg
pt2	683725.6204	383247.0531	160.1057	g
pt3	683739.2024	383262.6993	160.1818	g
pt4	683740.1988	383262.9894	160.1008	
pt5	683752.8124	383251.6698	160.0572	g
pt6	683760.9308	383242.7198	160.0755	g
pt7	683744.3493	383228.6577	160.1174	
pt8	683740.9753	383225.2121	160.1684	dg
pt9	683713.6015	383253.0403	159.9344	d
pt10	683715.4515	383255.5973	159.9664	d
pt11	683715.4157	383255.5778	160.0324	t
pt12	683697.1569	383273.5700	160.2458	d
pt13	683695.1707	383271.1859	160.1958	d
pt14	683684.7779	383279.6636	159.7605	d
pt15	683684.5906	383283.3557	159.7274	d
pt16	683680.3517	383285.8428	159.6933	d
pt17	683680.1348	383287.0796	159.5313	d
pt18	683673.7490	383287.9843	159.4821	ddddd
pt19	683675.9806	383289.9159	159.5162	ddddd
pt20	683745.6630	383238.1059	159.6093	Cc
pt21	683742.7752	383243.7138	159.7851	Cc
pt22	683750.2730	383250.4632	159.5472	Cc
pt23	683749.0607	383234.8408	159.4604	Cc
